riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7549251-G	4E-7	-	0.61	1.5	-	-	CIMAP2	"Early-onset ischemic stroke"	"Ischemic stroke"	-	GCST010652	1:54839297	32912094	"Jaworek T"
rs67383011-?	5E-6	-	0.95	2.0	-	-	TRAPPC11	"Early-onset ischemic stroke"	"Ischemic stroke"	-	GCST010652	4:183691400	32912094	"Jaworek T"
rs6460939-G	9E-6	-	0.55	1.41	-	-	VWDE	"Early-onset ischemic stroke"	"Ischemic stroke"	-	GCST010652	7:12367363	32912094	"Jaworek T"
rs200787930-C	4E-9	-	0.088	14.285714	-	-	PLCB2	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	15:40289298	29930801	"Yamada Y"
rs199921354-C	6E-9	-	0.088	14.285714	-	-	VPS33B	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	15:91013841	29930801	"Yamada Y"
rs188378669-G	6E-9	-	0.088	14.285714	-	-	CXCL8	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	4:73741568	29930801	"Yamada Y"
rs61734696-G	6E-9	-	0.088	14.285714	-	-	MARCHF1,ANP32CP	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	4:164197303	29930801	"Yamada Y"
rs192210727-G	6E-9	-	0.088	14.285714	-	-	ADGRL3	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	4:61909615	29930801	"Yamada Y"
rs115287176-G	9E-9	-	0.088	12.5	-	-	TMOD4	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	1:151170961	29930801	"Yamada Y"
rs146092501-C	1E-8	-	0.088	12.5	-	-	COL6A3	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	2:237371861	29930801	"Yamada Y"
rs146879198-G	1E-8	-	0.088	12.5	-	-	ZNF77	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	19:2934109	29930801	"Yamada Y"
rs149771079-A	5E-8	-	0.012	3.33	-	-	NYNRIN	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	14:24409193	29930801	"Yamada Y"
rs1052586-T	2E-6	-	0.52	1.4285715	-	-	GOSR2	"Ischemic stroke"	"Ischemic stroke"	-	GCST010836	17:46941097	29930801	"Yamada Y"
rs11513729-?	3E-11	-	NR	-	"6.63 z score increase"	-	MAPKAPK5-AS1,ALDH2	"Ischemic stroke"	"Ischemic stroke"	-	GCST004023	12:111835695	27997041	"Traylor M"
rs635634-?	5E-9	-	NR	-	"5.86 z score increase"	-	Y_RNA,ABO	"Ischemic stroke"	"Ischemic stroke"	-	GCST004023	9:133279427	27997041	"Traylor M"
rs58799304-?	3E-6	-	NR	-	"4.644 z score decrease"	-	LMNA	"Ischemic stroke"	"Ischemic stroke"	-	GCST004023	1:156110653	27997041	"Traylor M"
rs1440410-?	5E-6	-	NR	-	"4.573 z score decrease"	-	Y_RNA,USP38	"Ischemic stroke"	"Ischemic stroke"	-	GCST004023	4:143237156	27997041	"Traylor M"
rs181541997-?	7E-6	-	NR	-	"4.491 z score increase"	-	ADGRF1,TNFRSF21	"Ischemic stroke"	"Ischemic stroke"	-	GCST004023	6:47140228	27997041	"Traylor M"
rs4322086-?	7E-6	-	NR	-	"4.489 z score increase"	-	RN7SKP242,RASEF	"Ischemic stroke"	"Ischemic stroke"	-	GCST004023	9:83172803	27997041	"Traylor M"
rs6808694-?	8E-6	-	NR	-	"4.458 z score increase"	-	KAT2B	"Ischemic stroke"	"Ischemic stroke"	-	GCST004023	3:20144805	27997041	"Traylor M"
rs704341-A	7E-7	"(cohort study, AA)"	0.07	1.85	-	[1.45-2.36]	PTPRG	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	3:61963062	26089329	"Carty CL"
rs4471613-A	5E-7	"(cohort study, AA)"	0.02	2.47	-	[1.74-3.50]	ALDH1A2	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	15:58259495	26089329	"Carty CL"
rs12438353-T	2E-7	"(cohort study, AA)"	0.5	1.39	-	[1.23-1.57]	AGBL1	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	15:86771849	26089329	"Carty CL"
