riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs10498345-T	9E-7	" "	0.30	2.33	-	[1.64-3.23]	KRT8P1,CLEC14A	"Coronary spasm"	"Coronary Vasospasm"	-	GCST000125	14:38551301	18075462	"Suzuki S"
rs10861032-C	1E-7	-	NR	-	-	-	LINC02401,C12orf42	"Coronary restenosis"	"Coronary Restenosis"	-	GCST001214	12:103518728	21878436	"Sampietro ML"
rs2301753-?	7E-7	-	0.883	2.5	-	[1.75-3.57]	RNF39	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	6:30071463	26534935	"Weng L"
chr17:30331990-A	2E-6	-	0.053	2.41	-	[1.68-3.47]	-	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	-	26534935	"Weng L"
chr15:61195932-A	3E-6	-	0.04	2.64	-	[1.76-3.96]	-	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	-	26534935	"Weng L"
rs8095193-A	7E-6	-	0.222	1.6	-	[1.30-1.96]	BCL2,PHLPP1	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	18:63015882	26534935	"Weng L"
rs12818945-A	6E-6	(Adjusted)	0.047	2.38	-	[1.63-3.45]	ATP2B1	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	12:89624457	26534935	"Weng L"
rs10757279-G	1E-7	-	0.47084	-	"0.305909 unit decrease"	-	CDKN2B-AS1	"Coronary vascular plaque"	"coronary atherosclerosis"	-	GCST90104133	9:22124631	35121771	"Choe EK"
rs148978709-C	2E-7	-	0.049777	-	"0.713926 unit decrease"	-	TRHR,TMEM74	"Coronary vascular plaque"	"coronary atherosclerosis"	-	GCST90104133	8:109059829	35121771	"Choe EK"
rs147555597-A	5E-21	-	0.008848	-	"0.62 unit increase"	[0.49-0.75]	LPAL2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90043957	6:160490564	34737426	"Jiang L"
rs147895362-C	2E-7	-	0.017831	-	"1.13563 unit decrease"	-	MIR1263,LINC01323	"Coronary vascular stenosis"	"coronary stenosis"	-	GCST90104134	3:164421765	35121771	"Choe EK"
rs76661209-A	9E-7	-	0.018202	-	"1.05836 unit decrease"	-	RNF182	"Coronary vascular stenosis"	"coronary stenosis"	-	GCST90104134	6:13971464	35121771	"Choe EK"
rs2270836-T	9E-7	-	0.291233	-	"0.346692 unit increase"	-	MT1M	"Coronary vascular stenosis"	"coronary stenosis"	-	GCST90104134	16:56633702	35121771	"Choe EK"
rs17005877-G	2E-7	-	NR	-	-	-	PPP1R12A-AS2	"Severe coronary stenosis"	"coronary stenosis"	-	GCST011566	12:79763772	33766035	"Wakim V"
rs9368648-T	3E-9	-	NR	-	-	-	NAPGP2,SFTA2	"Severe coronary stenosis"	"coronary stenosis"	-	GCST011566	6:30956152	33766035	"Wakim V"
rs62325286-T	2E-8	-	0.227577	-	"0.991158 unit decrease"	-	RBM46,MAP9-AS1	"Myocardial ischemia"	"Myocardial Ischemia"	-	GCST90104131	4:154922236	35121771	"Choe EK"
rs80167961-C	2E-8	-	0.103748	-	"1.14199 unit decrease"	-	OR4A15,OR4A16	"Myocardial ischemia"	"Myocardial Ischemia"	-	GCST90104131	11:55362245	35121771	"Choe EK"
rs7123579-T	2E-8	-	0.103548	-	"1.13684 unit decrease"	-	OR4C15,OR4C14P	"Myocardial ischemia"	"Myocardial Ischemia"	-	GCST90104131	11:55538948	35121771	"Choe EK"
rs4970935-C	3E-16	-	0.25	1.77	-	[1.54-2.03]	ADAMTSL4-AS2,FALEC	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST010722	1:150531586	32374345	"Turley TN"
rs9349379-A	5E-14	-	0.59	1.71	-	[1.49-1.97]	PHACTR1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST010722	6:12903725	32374345	"Turley TN"
rs11172113-T	1E-13	-	0.59	1.69	-	[1.47-1.94]	LRP1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST010722	12:57133500	32374345	"Turley TN"
rs6700122-T	1E-6	-	0.06	1.77	-	[1.41-2.24]	QRSL1P1,MIR557	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST010722	1:168383696	32374345	"Turley TN"
rs28451064-G	1E-9	-	0.86	2.18	-	[1.70-2.81]	LINC00310,KCNE2	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST010722	21:34221526	32374345	"Turley TN"
rs189056-A	8E-6	-	0.36	1.35	-	[1.18-1.54]	DZIP1L,CLDN18	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST010722	3:138039318	32374345	"Turley TN"
rs2015637-C	2E-9	-	0.1	1.79	-	[1.48-2.17]	FBN1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST010722	15:48424656	32374345	"Turley TN"
rs34370185-T	1E-12	-	0.29	1.34	-	[1.24-1.46]	LINC01358,FGGY-DT	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	1:59191237	37248441	"Adlam D"
rs1146473-C	6E-9	-	0.19	1.32	-	[1.2-1.45]	F3,SLC44A3-AS1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	1:94584916	37248441	"Adlam D"
rs4970935-C	6E-39	-	0.28	1.72	-	[1.59-1.87]	ADAMTSL4-AS2,FALEC	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	1:150531586	37248441	"Adlam D"
