riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs9273368-G	8E-40	-	0.35	2.99	-	[2.60-3.91]	HLA-DQA1,HLA-DQB1	"Latent autoimmune diabetes vs. type 1 diabetes"	"type 1 diabetes mellitus,latent autoimmune diabetes in adults"	-	GCST007247	6:32658698	30254083	"Cousminer DL"
rs1983890-C	3E-8	-	0.642	1.2302363	-	"[1.14396450049362-1.32301382549448]"	PFKFB3,RBM17	"Latent autoimmune diabetes"	"latent autoimmune diabetes in adults"	-	GCST007245	10:6136651	30254083	"Cousminer DL"
rs11755527-?	1E-7	-	0.443857	1.203898	-	[1.125016-1.288312]	BACH2	"Latent autoimmune diabetes"	"latent autoimmune diabetes in adults"	-	GCST007245	6:90248512	30254083	"Cousminer DL"
rs11888640-?	2E-6	-	0.481522	1.1833298	-	[1.1-1.27]	THADA	"Latent autoimmune diabetes"	"latent autoimmune diabetes in adults"	-	GCST007245	2:43579243	30254083	"Cousminer DL"
rs9273368-?	3E-78	-	0.301	2.439	-	[2.222-2.676]	HLA-DQA1,HLA-DQB1	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	6:32658698	30254083	"Cousminer DL"
rs689-?	1E-18	-	0.715	1.473	-	[1.352-1.605]	INS,INS-IGF2	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	11:2160994	30254083	"Cousminer DL"
rs2476601-?	5E-16	-	0.14	1.529	-	[1.38-1.693]	PTPN22	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	1:113834946	30254083	"Cousminer DL"
rs3184504-?	2E-8	-	0.52	1.24	-	[1.151-1.336]	SH2B3,ATXN2	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	12:111446804	30254083	"Cousminer DL"
rs478222-?	4E-9	-	0.59	1.22	-	[NR]	EFR3B	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	2:25078886	21980299	"Bradfield JP"
rs539514-?	6E-11	-	0.50	1.43	-	[NR]	LMO7	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	13:75752146	21980299	"Bradfield JP"
rs924043-?	8E-9	-	0.85	1.35	-	[NR]	RPL12P23,LINC00574	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	6:170063801	21980299	"Bradfield JP"
rs550448-?	5E-7	-	0.86	1.32	-	[NR]	JAZF1-AS1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	7:28189423	21980299	"Bradfield JP"
rs12679857-?	4E-7	-	0.69	1.2	-	[NR]	RNU6-12P,TNFRSF11B	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	8:118965098	21980299	"Bradfield JP"
rs6547853-?	8E-7	-	0.60	1.19	-	[NR]	FOSL2,PLB1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	2:28423934	21980299	"Bradfield JP"
rs4084127-?	3E-6	-	NR	1.11	-	[NR]	FGF4,FGF3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	11:69781755	21980299	"Bradfield JP"
rs10786436-T	8E-7	-	NR	1.1	-	[NR]	HPSE2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	10:98540425	21980299	"Bradfield JP"
rs10137082-?	6E-6	-	NR	1.1	-	[NR]	IL25,EFS	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001255	14:23370824	21980299	"Bradfield JP"
rs2304256-C	4E-9	-	0.71	1.16	-	[1.11-1.22]	TYK2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000539	19:10364976	19966805	"Wallace C"
rs941576-A	1E-10	-	0.57	1.11	-	[1.06-1.16]	MEG3,MIR493HG	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000539	14:100839708	19966805	"Wallace C"
rs11258747-?	1E-7	-	NR	-	-	-	PRKCQ	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	10:6430929	19430480	"Barrett JC"
