riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs117733692-?	1E-6	-	NR	3.332	-	-	MSRA	"Asthma-chronic obstructive  pulmonary disease overlap syndrome"	"Chronic Obstructive Asthma"	-	GCST007521	8:10186480	30657218	"Park SY"
rs3772010-?	3E-6	-	NR	2.89	-	-	RNF144A	"Asthma-chronic obstructive  pulmonary disease overlap syndrome"	"Chronic Obstructive Asthma"	-	GCST007521	2:6960080	30657218	"Park SY"
rs11665213-?	7E-6	-	NR	2.232	-	-	MIR4527HG	"Asthma-chronic obstructive  pulmonary disease overlap syndrome"	"Chronic Obstructive Asthma"	-	GCST007521	18:47496342	30657218	"Park SY"
rs1677005-?	8E-6	-	NR	2.618	-	-	LINC01543,TAF4B	"Asthma-chronic obstructive  pulmonary disease overlap syndrome"	"Chronic Obstructive Asthma"	-	GCST007521	18:26403713	30657218	"Park SY"
rs35614679-?	8E-6	-	NR	2.996	-	-	TAF4B	"Asthma-chronic obstructive  pulmonary disease overlap syndrome"	"Chronic Obstructive Asthma"	-	GCST007521	18:26315873	30657218	"Park SY"
rs3817971-A	6E-7	-	NR	3.509	-	[2.09-5.889]	BTNL2,TSBP1-AS1	"Atopic asthma"	"atopic asthma"	-	GCST90093123	6:32393356	34871226	"Kim SY"
rs132911-?	2E-8	-	NR	-	-	-	TOB2,TEF	"Atopic asthma"	"atopic asthma"	-	GCST009850	22:41408156	31669095	"Zhu Z"
rs2070901-?	6E-9	-	NR	-	-	-	FCER1G	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:161215268	31669095	"Zhu Z"
rs61816761-?	2E-48	-	NR	-	-	-	FLG-AS1,FLG	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152313385	31669095	"Zhu Z"
rs72702900-?	9E-21	-	NR	-	-	-	LCE1D,LCE1C	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152799487	31669095	"Zhu Z"
rs12123821-?	2E-34	-	NR	-	-	-	FLG-AS1,CCDST	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152206676	31669095	"Zhu Z"
rs7523907-?	4E-11	-	NR	-	-	-	CD247	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:167458010	31669095	"Zhu Z"
rs71625139-?	2E-8	-	NR	-	-	-	RORC	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:151829917	31669095	"Zhu Z"
rs55875222-?	2E-14	-	NR	-	-	-	TDRKH,TDRKH-AS1	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:151790858	31669095	"Zhu Z"
rs12144049-?	2E-21	-	NR	-	-	-	LCE5A,FLG-AS1	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152468434	31669095	"Zhu Z"
rs138726443-?	4E-10	-	NR	-	-	-	FLG-AS1,FLG	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152307547	31669095	"Zhu Z"
rs1552994-?	5E-11	-	NR	-	-	-	FLG-AS1	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152198985	31669095	"Zhu Z"
rs61815704-?	2E-21	-	NR	-	-	-	IVL,LINC01527	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152921415	31669095	"Zhu Z"
rs2065206-?	2E-8	-	NR	-	-	-	LCE1C,LCE1D	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:152798817	31669095	"Zhu Z"
rs4845604-?	1E-12	-	NR	-	-	-	RORC	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:151829204	31669095	"Zhu Z"
rs3828058-?	2E-11	-	NR	-	-	-	RORC	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:151813805	31669095	"Zhu Z"
rs2230624-?	9E-10	-	NR	-	-	-	TNFRSF8	"Atopic asthma"	"atopic asthma"	-	GCST009850	1:12115601	31669095	"Zhu Z"
