riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7185636-T	2E-8	-	0.8200000000000001	1.0869565	-	[1.05-1.12]	IQCK	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	16:19796841	30820047	"Kunkle BW"
rs593742-A	7E-9	-	0.7050000000000001	1.0752687	-	[1.05-1.1]	SNORD3P1,ADAM10	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	15:58753575	30820047	"Kunkle BW"
rs2830500-C	3E-8	-	0.692	1.0752687	-	[1.04-1.1]	CYYR1,ADAMTS1	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	21:26784537	30820047	"Kunkle BW"
rs4735340-T	9E-8	-	0.524	1.0638298	-	[1.04-1.09]	NDUFAF6	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	8:94964023	30820047	"Kunkle BW"
rs10467994-T	4E-7	-	0.667	1.0638298	-	[1.04-1.09]	SPPL2A	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	15:50716490	30820047	"Kunkle BW"
rs2632516-G	5E-8	-	0.56	1.0638298	-	[1.04-1.1]	TSPOAP1-AS1,MIR142HG	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	17:58331728	30820047	"Kunkle BW"
rs7295246-G	4E-7	-	0.413	1.06	-	[1.04-1.08]	ADAMTS20,EEF1A1P17	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	12:43573874	30820047	"Kunkle BW"
rs7920721-G	2E-11	-	0.39	1.08	-	[1.06-1.11]	USP6NL-AS1,ECHDC3	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	10:11678309	30820047	"Kunkle BW"
rs138190086-A	5E-9	-	0.02	1.3	-	[1.19-1.42]	PPIAP55,CYB561	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	17:63460787	30820047	"Kunkle BW"
rs114812713-C	2E-13	-	0.03	1.32	-	[1.22-1.42]	OARD1	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	6:41066261	30820047	"Kunkle BW"
rs62039712-A	4E-8	-	0.116	1.16	-	[1.10-1.23]	MAF,RNA5SP431	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	16:79321960	30820047	"Kunkle BW"
rs35868327-T	3E-7	-	0.987	1.4705882	-	[1.27-1.69]	FST,RPL13AP13	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	5:53369400	30820047	"Kunkle BW"
rs71618613-A	3E-7	-	0.99	1.4084507	-	[1.23-1.59]	LINC02109	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	5:29005878	30820047	"Kunkle BW"
rs190094306-?	4E-6	-	NR	1.62	-	[1.32-1.99]	NXT1P1,NHLRC3	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	13:39050685	30820047	"Kunkle BW"
rs187857322-?	2E-6	-	NR	1.63	-	[1.33-2.00]	OR7E59P,OR7E136P	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	7:6869229	30820047	"Kunkle BW"
rs192326911-?	3E-6	-	NR	1.65	-	[1.34-2.04]	RDH10-AS1,STAU2-AS1	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	8:73378103	30820047	"Kunkle BW"
rs192098867-?	7E-6	-	NR	1.2987013	-	[1.16-1.47]	TRPM1	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	15:31149558	30820047	"Kunkle BW"
rs35833468-?	3E-6	-	NR	1.0869565	-	[1.04-1.12]	EGLN3	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	14:33974720	30820047	"Kunkle BW"
rs190217640-?	7E-6	-	NR	1.4492754	-	[1.23-1.69]	NEGR1	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	1:71755908	30820047	"Kunkle BW"
rs19213255-?	4E-6	-	NR	1.3333333	-	[1.18-1.49]	-	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	-	30820047	"Kunkle BW"
rs182921547-?	8E-7	-	NR	1.38	-	[1.21-1.56]	LINC02353,MAPRE1P2	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	4:32832588	30820047	"Kunkle BW"
rs8111708-?	2E-6	-	NR	1.06	-	[1.03-1.09]	ELL	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	19:18448066	30820047	"Kunkle BW"
rs11038990-?	6E-6	-	NR	1.09	-	[1.05-1.13]	CKAP5	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	11:46783211	30820047	"Kunkle BW"
rs6806784-?	4E-6	-	NR	1.53	-	[1.28-1.83]	SENP7	"Alzheimer's disease (late onset)"	"late-onset Alzheimers disease"	-	GCST007511	3:101508591	30820047	"Kunkle BW"
APOE-?	1E-49	-	NR	-	-	-	-	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST006806	-	29360470	"Miron J"
rs116530595-T	9E-6	"(liability model)"	0.018	-	"0.26 unit increase"	[0.14-0.38]	C9orf152,TXN	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	9:110213589	27770636	"Mez J"
rs147582129-T	9E-6	"(liability model)"	0.016	-	"0.28 unit increase"	[0.16-0.4]	FAT3	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	11:92422052	27770636	"Mez J"
rs72998574-T	2E-6	"(liability model)"	0.022	-	"0.28 unit increase"	[0.16-0.4]	R3HDM2P2,GRIK2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	6:103969846	27770636	"Mez J"
rs144471255-A	3E-6	"(liability model)"	0.018	-	"0.31 unit increase"	[0.17-0.45]	RDX	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	11:110058188	27770636	"Mez J"
rs144216026-A	8E-6	"(liability model)"	0.017	-	"0.31 unit increase"	[0.17-0.45]	ABCA8	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	17:68920354	27770636	"Mez J"
rs137869973-T	2E-7	"(liability model)"	0.025	-	"0.31 unit increase"	[0.19-0.43]	KCTD9P6,RNA5SP261	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	8:31236084	27770636	"Mez J"
rs72840936-C	5E-7	"(liability model)"	0.018	-	"0.32 unit increase"	[0.2-0.44]	STEAP3-AS1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:119266116	27770636	"Mez J"
