riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
chr21:46916033-?	8E-240	-	NR	1.719	-	[1.673-1.768]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr3:64699445-?	6E-44	-	NR	1.78	-	[1.707-1.857]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr12:27737074-?	1E-33	-	NR	1.4	-	[1.359-1.442]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr16:29348809-?	4E-28	-	NR	1.216	-	[1.185-1.247]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr16:79360135-?	3E-27	-	NR	1.1737089	-	[1.15-1.2]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr8:135611154-?	3E-96	-	NR	1.152	-	[1.127-1.177]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr19:22620820-?	6E-25	-	NR	1.213	-	[1.176-1.253]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr7:111916329-?	2E-16	-	NR	1.151	-	[1.123-1.179]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr5:108436958-?	4E-133	-	NR	1.945	-	[1.734-2.182]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr5:120977240-?	3E-46	-	NR	1.2106538	-	[1.17-1.25]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr9:111929013-?	2E-31	-	NR	1.517	-	[1.375-1.673]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr1:164546863-?	1E-10	-	NR	1.257	-	[1.175-1.346]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
chr9:135955826-?	1E-14	-	NR	2.158	-	[1.777-2.619]	-	"Early-onset Parkinson's disease"	"Young adult-onset Parkinsonism"	-	GCST004138	-	28256260	"Siitonen A"
rs1442190-?	2E-27	-	0.0264	3.72	-	[2.98-4.64]	CNTN1	"Parkinson's disease"	"Parkinson disease"	-	GCST002455	12:40971838	24842889	"Vacic V"
rs17577094-?	8E-9	-	0.74	1.56	-	[1.39-1.79]	KANSL1	"Parkinson's disease"	"Parkinson disease"	-	GCST002455	17:46110126	24842889	"Vacic V"
rs1630500-?	2E-8	-	0.045	1.75	-	[1.43-2.15]	PMVK,KCNN3	"Parkinson's disease"	"Parkinson disease"	-	GCST002455	1:154882579	24842889	"Vacic V"
rs823114-?	3E-6	-	0.59	1.33	-	[1.20-1.47]	RAB29,NUCKS1	"Parkinson's disease"	"Parkinson disease"	-	GCST002455	1:205750404	24842889	"Vacic V"
rs7118648-G	2E-7	-	0.03	-	-	-	CCDC82	"Parkinson's disease"	"Parkinson disease"	-	GCST002077	11:96375264	23793441	"Davis MF"
rs3935740-T	2E-7	-	0.08	-	-	-	TMC3,TMC3-AS1	"Parkinson's disease"	"Parkinson disease"	-	GCST002077	15:81334384	23793441	"Davis MF"
rs17497526-G	6E-7	-	0.15	-	-	-	COL13A1	"Parkinson's disease"	"Parkinson disease"	-	GCST002077	10:69820364	23793441	"Davis MF"
rs183211-T	3E-7	-	0.24	-	-	-	NSF	"Parkinson's disease"	"Parkinson disease"	-	GCST001189	17:46710944	21812969	"Liu X"
rs10121009-A	3E-6	-	0.21	-	-	-	UNC13B	"Parkinson's disease"	"Parkinson disease"	-	GCST001189	9:35269822	21812969	"Liu X"
rs415430-T	7E-7	-	0.786	-	-	-	WNT3	"Parkinson's disease"	"Parkinson disease"	-	GCST001189	17:46781778	21812969	"Liu X"
rs2338971-C	4E-10	(Sporadic)	0.773	1.35	-	[1.27-1.43]	LINC01709,LINC01307	"Parkinson's disease"	"Parkinson disease"	-	GCST002353	1:101414449	24511991	"Hill-Burns EM"
rs356220-T	1E-9	(Sporadic)	0.364	1.37	-	[1.23-1.51]	SNCA	"Parkinson's disease"	"Parkinson disease"	-	GCST002353	4:89720189	24511991	"Hill-Burns EM"
rs356220-T	3E-11	-	0.364	1.38	-	[1.24-1.52]	SNCA	"Parkinson's disease"	"Parkinson disease"	-	GCST002353	4:89720189	24511991	"Hill-Burns EM"
